,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie
2019-10-17 19:00:00,-218.6352,131.14965,87.485546,0.0
2019-10-17 20:00:00,-217.0314,134.37457,82.656827,0.0
2019-10-17 21:00:00,-207.405,129.16703,78.237973,0.0
2019-10-17 22:00:00,-199.3842,127.66048,71.723724,0.0
2019-10-17 23:00:00,-183.3408,120.66169,62.679114,0.0
2019-10-18 00:00:00,-173.7162,117.29442,56.421778,0.0
2019-10-18 01:00:00,-167.29919999999998,114.48156,52.817643,0.0
2019-10-18 02:00:00,-157.67280000000002,107.63942,50.033384,0.0
2019-10-18 03:00:00,-157.67280000000002,106.85617,50.816627,0.0
2019-10-18 04:00:00,-164.0898,111.74634,52.343465,0.0
2019-10-18 05:00:00,-164.0898,111.78039,52.309411,0.0
2019-10-18 06:00:00,-188.154,127.02843,61.125568,0.0
2019-10-18 07:00:00,-202.5918,128.87312,67.443975,6.2747036
2019-10-18 08:00:00,-202.5918,114.39657,68.586777,19.608449
2019-10-18 09:00:00,-213.822,108.14131,70.385485,35.295208
2019-10-18 10:00:00,-220.23899999999998,93.473534,68.602744,58.162722
2019-10-18 11:00:00,-220.23899999999998,63.689617,52.357695,104.19169
2019-10-18 12:00:00,-221.84459999999999,56.285156,42.896541,122.6629
2019-10-18 13:00:00,-223.44839999999996,59.871474,41.094203,122.48272
2019-10-18 14:00:00,-221.84459999999999,104.10343,62.729226,55.011941
2019-10-18 15:00:00,-218.6352,117.58935,70.174295,30.87156
2019-10-18 16:00:00,-217.0314,127.37772,79.604426,10.049249
2019-10-18 17:00:00,-215.4276,127.09007,88.33753,0.0
2019-10-18 18:00:00,-220.23899999999998,129.49395,90.745054,0.0
2019-10-18 19:00:00,-221.84459999999999,134.83192,87.012681,0.0
2019-10-18 20:00:00,-215.4276,133.19494,82.232659,0.0
2019-10-18 21:00:00,-207.405,127.94108,79.463919,0.0
2019-10-18 22:00:00,-186.5502,117.06285,69.487346,0.0
2019-10-18 23:00:00,-173.7162,112.0501,61.666103,0.0
2019-10-19 00:00:00,-165.6936,108.9757,56.717903,0.0
2019-10-19 01:00:00,-159.2766,105.14121,54.135389,0.0
2019-10-19 02:00:00,-159.2766,104.05148,55.225119,0.0
2019-10-19 03:00:00,-164.0898,104.7312,59.3586,0.0
2019-10-19 04:00:00,-178.52939999999998,108.98387,69.54553,0.0
2019-10-19 05:00:00,-204.1974,113.74837,90.449027,0.0
2019-10-19 06:00:00,-223.44839999999996,116.50437,106.94403,0.0
2019-10-19 07:00:00,-228.26160000000004,114.81945,111.87347,1.5686759
2019-10-19 08:00:00,-234.67860000000002,117.52943,113.22749,3.9216897
2019-10-19 09:00:00,-231.4692,111.58066,113.35325,6.5352982
2019-10-19 10:00:00,-228.26160000000004,105.61538,113.23416,9.4120554
2019-10-19 11:00:00,-200.988,85.340362,104.66691,10.980731
2019-10-19 12:00:00,-204.1974,82.823568,100.98104,20.392787
2019-10-19 13:00:00,-213.822,68.639465,90.209354,54.97318
2019-10-19 14:00:00,-213.822,84.683648,95.357413,33.780939
2019-10-19 15:00:00,-209.0106,100.57007,99.812817,8.6277174
2019-10-19 16:00:00,-221.84459999999999,110.45643,103.54479,7.8433795
2019-10-19 17:00:00,-200.988,96.575254,104.41275,0.0
2019-10-19 18:00:00,-212.2182,103.80016,108.41804,0.0
2019-10-19 19:00:00,-231.4692,124.53568,106.93352,0.0
2019-10-19 20:00:00,-228.26160000000004,127.88932,100.37228,0.0
2019-10-19 21:00:00,-218.6352,125.59782,93.037378,0.0
2019-10-19 22:00:00,-200.988,119.81578,81.172216,0.0
2019-10-19 23:00:00,-184.9464,113.90809,71.038314,0.0
2019-10-20 00:00:00,-168.903,105.34281,63.560189,0.0
2019-10-20 01:00:00,-167.29919999999998,105.35507,61.94413,0.0
2019-10-20 02:00:00,-160.8822,99.545449,61.336751,0.0
2019-10-20 03:00:00,-170.5068,104.34298,66.163816,0.0
2019-10-20 04:00:00,-180.1332,105.9408,74.1924,0.0
2019-10-20 05:00:00,-191.36339999999998,101.68438,89.679016,0.0
2019-10-20 06:00:00,-215.4276,109.12519,106.30241,0.0
2019-10-20 07:00:00,-225.0522,109.81131,110.2638,4.9770941
2019-10-20 08:00:00,-236.2824,115.29538,112.3593,8.6277174
2019-10-20 09:00:00,-252.3258,119.71757,115.3528,17.255435
2019-10-20 10:00:00,-228.26160000000004,100.27032,110.73584,17.255435
2019-10-20 11:00:00,-218.6352,86.164883,103.44981,29.020504
2019-10-20 12:00:00,-217.0314,59.856924,88.845808,68.328668
2019-10-20 13:00:00,-212.2182,73.469525,93.218713,45.529962
2019-10-20 14:00:00,-196.1748,85.680432,98.729299,11.765069
2019-10-20 15:00:00,-183.3408,80.872099,95.409659,7.0590415
2019-10-20 16:00:00,-202.5918,98.037906,100.6322,3.9216897
2019-10-20 17:00:00,-215.4276,106.54219,108.88541,0.0
2019-10-20 18:00:00,-231.4692,117.86891,113.60029,0.0
2019-10-20 19:00:00,-225.0522,119.12891,105.92329,0.0
2019-10-20 20:00:00,-231.4692,129.76059,101.70861,0.0
2019-10-20 21:00:00,-217.0314,124.40252,92.628876,0.0
2019-10-20 22:00:00,-207.405,124.26324,83.141757,0.0
