;0
1;308.5
2;306.2
3;0.9608
4;209.8
5;1399.0
6;420.7
7;601.0
8;57.3
9;151.0
10;241.1
11;10.0
12;826.0
13;
14;400.0
15;0.0
16;636.8
17;38.3
18;567.2
19;31.3
20;
21;1800.0
22;10.1
23;1837.7
24;358.2
25;12.7
26;638.1
27;828.3
28;0.5
29;
30;207.03413495928044
31;0.004917052471504338
32;137.9046864272456
33;0.2158217400656988
34;
35;2.8
36;286.4
37;16.8
38;0.1
39;
40;38.1
41;12.4
42;3.1
43;0.4
44;4.4
45;16.0
46;0.6
47;1.2
48;270.4
49;43.0
50;214.8
51;12.5
52;0.1
53;
54;0.9217716049842408
555;0.9997367830155575
