Counter;Sol_irradiation [Wh/sqm];P*;Q*
179;50.60416662;0.000182169;0.000201678
180;47.94078943;0.000186304;0.000197222
181;53.26754381;0.000181323;0.000187418
182;34.62390347;0.000175806;0.000184744
183;13.31688595;0.000169831;0.000184744
184;2.66337719;0.000169833;0.000184744
185;0;0.000171336;0.000185635
186;0;0.000181258;0.000184744
187;0;0.000177038;0.000184744
188;0;0.000169896;0.000205243
189;0;0.000151577;0.000195439
190;0;0.000136007;0.000185635
191;0;0.00012909;0.000178505
192;0;0.000107793;0.000161571
193;0;8.71E-05;0.000158897
194;0;7.69E-05;0.000151767
195;0;7.08E-05;0.000149093
196;0;7.28E-05;0.000148202
197;0;0.000079315;0.000157115
198;0;9.71E-05;0.000171375
199;0;0.000132757;0.000180288
200;0;0.000167494;0.000198113
201;2.66337719;0.000184657;0.000215047
202;10.65350876;0.000187001;0.000206134
203;26.6337719;0.000190957;0.000199004
204;37.28728066;0.000192192;0.000199004
205;18.64364033;0.000187476;0.000193657
206;21.30701752;0.000181958;0.00018207
207;13.31688595;0.000175721;0.000182962
208;5.32675438;0.000174119;0.000181179
209;0;0.000179926;0.000181179
210;0;0.000191483;0.00018207
211;0;0.000187427;0.00018207
212;0;0.000172667;0.000181179
213;0;0.00015284;0.000181179
214;0;0.000136926;0.000181179
215;0;0.000119537;0.000175831
216;0;0.000102107;0.000171375
217;0;8.28E-05;0.000158897
218;0;7.55E-05;0.000149093
219;0;6.84E-05;0.000143746
220;0;6.67E-05;0.000142855
221;0;6.73E-05;0.00014642
222;0;6.73E-05;0.000142855
223;0;7.24E-05;0.000147311
224;0;8.87E-05;0.000147311
225;32.70143297;0.000109038;0.000150876
226;13.31688595;0.000124709;0.000156224
227;26.6337719;0.000131338;0.000169593
228;18.64364033;0.00013909;0.000170484
229;23.97039471;0.00014087;0.000185635
230;55.930921;0.0001332;0.000191874
231;18.64364033;0.000125979;0.000193657
232;2.66337719;0.000118942;0.000190983
233;0;0.000124793;0.0001892
234;0;0.000142277;0.000188309
235;0;0.000143098;0.000190092
236;0;0.000132008;0.000196331
237;0;0.000113533;0.000192765
238;0;0.000103192;0.000180288
239;0;0.00010038;0.000179396
240;0;8.56E-05;0.000157115
241;0;6.81E-05;0.000149985
242;0;5.65E-05;0.000150876
243;0;5.04E-05;0.000166919
244;0;4.81E-05;0.000166919
245;0;4.96E-05;0.000165136
246;0;4.78E-05;0.00016781
247;0;0.000043921;0.000180288
248;0;5.22E-05;0.000188309
249;13.31688595;6.80E-05;0.000190983
250;67.44115998;8.39E-05;0.000190092
251;65.03561551;0.000101089;0.000191874
252;230.873851;0.000115727;0.000191874
253;141.6414455;0.000116919;0.000207917
254;67.08159423;0.00010949;0.000223069
255;103.5087049;0.000105061;0.000243568
256;61.00775094;0.000103203;0.000229307
257;0;0.000108737;0.00021683
258;0;0.000131022;0.000208808
259;0;0.000135773;0.000211482
260;0;0.000127975;0.000208808
261;0;0.000113141;0.000205243
262;0;0.000104558;0.000194548
263;0;0.000107018;0.000186527
264;0;9.07E-05;0.000169593
265;0;7.62E-05;0.00016068
266;0;6.78E-05;0.000158897
267;0;6.49E-05;0.000154441
268;0;6.45E-05;0.00015355
269;0;7.13E-05;0.000157115
270;0;9.15E-05;0.00017494
271;0;0.000133903;0.000182962
272;0;0.000171335;0.000195439
273;5.32675438;0.00018619;0.000194548
274;13.31688595;0.000185349;0.000193657
275;21.30701752;0.000193337;0.000206134
276;42.61403504;0.000200258;0.000210591
277;42.61403504;0.000198324;0.0002097
278;29.29714909;0.000195449;0.000195439
279;15.98026314;0.000190797;0.000199004
280;5.32675438;0.000185493;0.000184744
281;0;0.000186603;0.00018207
282;0;0.00019511;0.000185635
283;0;0.000194853;0.000185635
284;0;0.000186369;0.000186527
285;0;0.000165527;0.000173158
286;0;0.000150981;0.000169593
287;0;0.00013694;0.000168701
288;0;0.000112557;0.000156224
289;0;9.31E-05;0.000155332
290;0;8.29E-05;0.000156224
291;0;7.80E-05;0.000159789
292;0;7.79E-05;0.000155332
293;0;8.81E-05;0.000157115
294;0;0.000104499;0.000179396
295;0;0.000136373;0.000188309
296;0;0.000170992;0.000192765
297;101.649017;0.000180108;0.000197222
298;106.0464427;0.000177942;0.000197222
299;212.807078;0.00017766;0.000186527
300;341.8476217;0.000179565;0.000184744
301;411.8851551;0.000176959;0.000176723
302;271.8004881;0.000173528;0.000173158
303;28.54167186;0.000164145;0.000176723
304;7.99013157;0.000164228;0.00017494
305;0;0.00016647;0.000178505
306;0;0.000181967;0.000183853
307;0;0.000179334;0.00018207
308;0;0.000167118;0.000188309
309;0;0.000146268;0.000187418
310;0;0.000133076;0.000185635
311;0;0.000123602;0.000161571
312;0;0.000104161;0.00015355
313;0;8.34E-05;0.000154441
314;0;7.11E-05;0.000162462
315;0;6.41E-05;0.000161571
316;0;6.65E-05;0.000158897
317;0;7.46E-05;0.000173158
318;0;9.33E-05;0.000183853
319;0;0.000130924;0.000182962
320;0;0.000167429;0.000190092
321;85.48980332;0.000180298;0.000204352
322;313.8429275;0.000177281;0.00021683
323;107.3496351;0.000183592;0.000237329
324;109.2910758;0.000184974;0.000210591
325;236.0473142;0.000179273;0.000203461
326;159.3074506;0.000175956;0.000191874
327;26.6337719;0.00016985;0.000190092
328;13.31688595;0.00016587;0.000185635
329;0;0.000167396;0.000185635
330;0;0.00018151;0.000212373
331;0;0.000175943;0.000211482
332;0;0.000169334;0.000207917
333;0;0.000151299;0.000199896
334;0;0.0001365;0.000199004
335;0;0.000126347;0.000191874
336;0;0.000109161;0.000168701
337;0;9.17E-05;0.000166027
338;0;8.28E-05;0.000172266
339;0;7.92E-05;0.000179396
340;0;8.15E-05;0.000185635
341;0;8.65E-05;0.000193657
342;0;0.000101351;0.000202569
343;0;0.00013672;0.000198113
344;0;0.000167977;0.000207917
345;7.99013157;0.000181867;0.000211482
346;29.29714909;0.000180932;0.000207026
347;45.27741224;0.000185716;0.0002097
348;66.58442976;0.000191615;0.000201678
349;71.91118414;0.000187575;0.000199896
350;90.74887828;0.00018374;0.000204352
351;65.54467593;0.000177355;0.0001892
352;18.64364033;0.00017374;0.000183853
353;0;0.000173251;0.000187418
354;0;0.000185043;0.000191874
355;0;0.000182285;0.000195439
356;0;0.000176758;0.000193657
357;0;0.000159506;0.000192765
358;0;0.000144063;0.000188309
359;0;0.000131046;0.000166027
360;0;0.000109366;0.000158006
361;0;9.28E-05;0.000155332
362;0;7.99E-05;0.000152658
363;0;7.27E-05;0.000154441
364;0;7.99E-05;0.000166027
365;0;8.93E-05;0.000171375
366;0;0.000105781;0.000183853
367;0;0.000139419;0.000185635
368;0;0.000172154;0.000198113
369;13.31688595;0.000181209;0.000194548
370;55.930921;0.000177162;0.000195439
371;329.7190593;0.000178416;0.000199004
372;524.9531808;0.000179507;0.000197222
373;212.9005661;0.000173822;0.000185635
374;141.6340304;0.000166516;0.000187418
375;66.58442976;0.000157551;0.000193657
376;23.97039471;0.000152545;0.000201678
377;0;0.000153971;0.000199004
378;0;0.000168431;0.000203461
379;0;0.000166231;0.000206134
380;0;0.000156406;0.000202569
381;0;0.000136902;0.000185635
382;0;0.000121201;0.000183853
383;0;0.000110663;0.000171375
384;0;9.27E-05;0.00016068
385;0;7.73E-05;0.00016068
386;0;6.55E-05;0.000159789
387;0;6.05E-05;0.000155332
388;0;5.93E-05;0.000157115
389;0;5.98E-05;0.000163354
390;0;5.83E-05;0.000173158
391;0;6.17E-05;0.00018207
392;0;7.90E-05;0.000198113
393;31.96052628;9.77E-05;0.000210591
394;156.6101637;0.000111672;0.000211482
395;242.679623;0.000119715;0.000207026
396;272.0419584;0.000124788;0.000186527
397;297.0198427;0.000121574;0.000181179
398;360.5096293;0.00011149;0.000180288
399;247.8886283;0.000105284;0.00018207
400;78.63051319;0.000101836;0.0001892
401;2.66337719;0.00010528;0.000197222
402;0;0.000125138;0.000214156
403;0;0.000130004;0.00021683
404;0;0.000121417;0.000210591
405;0;0.000102651;0.000198113
406;0;9.20E-05;0.000197222
407;0;8.88E-05;0.000178505
408;0;7.48E-05;0.000176723
409;0;0.000061925;0.00017494
410;0;5.44E-05;0.000180288
411;0;4.74E-05;0.00017494
412;0;4.59E-05;0.00017494
413;0;4.54E-05;0.000182962
414;0;4.25E-05;0.000194548
415;0;3.76E-05;0.0001892
416;2.66337719;4.67E-05;0.000185635
417;59.60815293;5.81E-05;0.000200787
418;103.4058187;7.22E-05;0.00022396
419;101.7299966;8.48E-05;0.000223069
420;213.6016382;9.68E-05;0.000215938
421;352.8922737;9.74E-05;0.000219503
422;191.3403775;8.79E-05;0.000218612
423;69.24780695;8.21E-05;0.000217721
424;18.64364033;8.14E-05;0.000215938
425;0;8.40E-05;0.000217721
426;0;0.000108137;0.000215938
427;0;0.000115731;0.000222177
428;0;0.000109297;0.000218612
429;0;0.00009794;0.000214156
430;0;9.18E-05;0.000206134
431;0;9.47E-05;0.000196331
432;0;8.17E-05;0.000188309
