,BHKW_el,Strombedarf,Waermepumpe_el,PV
2019-10-17 05:00:00,61.03507,-25.520000000000003,-35.51507,0.0
2019-10-17 06:00:00,68.653232,-31.919999999999995,-36.733232,0.0
2019-10-17 07:00:00,73.602397,-38.56,-35.210581,0.16818417
2019-10-17 08:00:00,78.368708,-44.3888,-34.282639,0.3027315
2019-10-17 09:00:00,78.366906,-48.3652,-30.674442,0.67273667
2019-10-17 10:00:00,67.736985,-50.169599999999996,-19.148316,1.5809312
2019-10-17 11:00:00,68.490069,-48.8844,-21.052052,1.4463838
2019-10-17 12:00:00,49.181965,-44.956,-6.5132702,2.2873047
2019-10-17 13:00:00,38.849064,-41.7064,-0.0,2.8573358
2019-10-17 14:00:00,35.935869,-40.5908,-0.0,4.6549313
2019-10-17 15:00:00,39.475897,-39.839999999999996,-0.64500199,1.009105
2019-10-17 16:00:00,75.051453,-42.40880000000001,-32.979021,0.33636833
2019-10-17 17:00:00,82.473837,-47.5444,-34.963074,0.033636833
2019-10-17 18:00:00,83.461968,-47.3636,-36.098368,0.0
2019-10-17 19:00:00,77.76493,-40.2936,-37.47133,0.0
2019-10-17 20:00:00,73.472735,-35.08,-38.392735,0.0
2019-10-17 21:00:00,69.544865,-32.63999999999999,-36.904865,0.0
2019-10-17 22:00:00,63.754422,-27.28,-36.474422,0.0
2019-10-17 23:00:00,55.714768,-21.240000000000002,-34.474768,0.0
2019-10-18 00:00:00,50.152692,-16.64,-33.512692,0.0
2019-10-18 01:00:00,46.949016,-14.240000000000002,-32.709016,0.0
2019-10-18 02:00:00,44.474119,-13.72,-30.754119,0.0
2019-10-18 03:00:00,45.170335,-14.64,-30.530335,0.0
2019-10-18 04:00:00,46.527524,-14.6,-31.927524,0.0
2019-10-18 05:00:00,46.497254,-14.559999999999999,-31.937254,0.0
2019-10-18 06:00:00,54.333838,-18.04,-36.293838,0.0
2019-10-18 07:00:00,58.363108,-23.799999999999997,-34.832203,0.26909467
2019-10-18 08:00:00,56.006362,-30.377200000000002,-26.470083,0.84092083
2019-10-18 09:00:00,53.637484,-35.43999999999999,-19.711141,1.5136575
2019-10-18 10:00:00,46.26883,-40.4904,-8.2727755,2.4943455
2019-10-18 11:00:00,35.011673,-39.48,-0.0,4.468327
2019-10-18 12:00:00,29.899523,-35.16,-0.0,5.2604769
2019-10-18 13:00:00,27.26125,-32.514,-0.0,5.2527497
2019-10-18 14:00:00,29.536378,-31.895599999999995,-0.0,2.3592222
