,BHKW_el,Strombedarf,Waermepumpe_el,Strombezug,PV
2019-01-03 21:00:00,99.408778,-33.6,-65.808778,0.0,0.0
2019-01-03 22:00:00,95.365708,-32.8412,-62.524508,0.0,0.0
2019-01-03 23:00:00,89.653665,-28.960000000000004,-60.693665,0.0,0.0
2019-01-04 00:00:00,85.960692,-24.08,-61.880692,0.0,0.0
2019-01-04 01:00:00,80.949622,-17.0,-63.949622,0.0,0.0
2019-01-04 02:00:00,78.662876,-13.519999999999998,-65.142876,0.0,0.0
2019-01-04 03:00:00,74.48173,-12.12,-62.36173,0.0,0.0
2019-01-04 04:00:00,76.397578,-12.36,-64.037578,0.0,0.0
2019-01-04 05:00:00,76.590703,-11.24,-65.350703,0.0,0.0
2019-01-04 06:00:00,79.949968,-9.719999999999999,-70.229968,0.0,0.0
2019-01-04 07:00:00,86.657773,-14.458799999999998,-72.198973,0.0,0.0
2019-01-04 08:00:00,92.132602,-19.96,-72.340786,0.0,0.16818417
2019-01-04 09:00:00,97.135451,-25.320000000000004,-72.477754,0.0,0.66230283
2019-01-04 10:00:00,73.172757,-30.9408,-44.850841,0.0,2.6188846
2019-01-04 11:00:00,90.04896,-37.760000000000005,-53.642789,0.0,1.3538288
2019-01-04 12:00:00,78.683912,-37.96,-42.569981,0.0,1.8460682
2019-01-04 13:00:00,75.151082,-34.162800000000004,-42.64236,0.0,1.654078
2019-01-04 14:00:00,88.025634,-32.04,-56.45655,0.0,0.47091567
2019-01-04 15:00:00,97.020645,-31.919999999999995,-65.268829,0.0,0.16818417
2019-01-04 16:00:00,101.99286,-35.63999999999999,-66.352865,0.0,0.0
2019-01-04 17:00:00,112.50257,-42.193599999999996,-70.308973,0.0,0.0
2019-01-04 18:00:00,114.79663,-43.391600000000004,-71.405027,0.0,0.0
2019-01-04 19:00:00,112.58841,-40.4736,-72.114811,0.0,0.0
2019-01-04 20:00:00,106.26253,-36.239999999999995,-70.02253,0.0,0.0
2019-01-04 21:00:00,100.60043,-33.8,-66.800432,0.0,0.0
2019-01-04 22:00:00,97.3136,-34.04,-63.2736,0.0,0.0
2019-01-04 23:00:00,89.246357,-28.88,-60.366357,0.0,0.0
2019-01-05 00:00:00,84.251762,-22.28,-61.971762,0.0,0.0
2019-01-05 01:00:00,81.557708,-18.72,-62.837708,0.0,0.0
