;0
1;275.8
2;297.5
3;0.8669
4;84.2
5;561.3
6;1007.1
7;1438.7
8;0.0
9;164.3
10;281.1
11;-0.0
12;1054.2
13;
14;400.0
15;0.0
16;597.7
17;15.4
18;475.9
19;106.5
20;
21;1800.0
22;230.1
23;2084.7
24;857.4
25;0.0
26;535.4
27;692.0
28;0.0
29;
30;Kein Stromspeicher installiert.
31;Kein Stromspeicher installiert.
32;225.6251038569282
33;0.4581519148757806
34;
35;0.0
36;240.3
37;57.2
38;0.0
39;
40;19.1
41;0.6
42;7.4
43;0.0
44;1.2
45;2.1
46;-0.0
47;7.8
48;256.7
49;35.7
50;178.5
51;42.6
52;0.0
53;
54;0.7338239382489458
555;0.9999823038086378
